,OrderFlowImba,qi,T
194,-3.302221687576806e-05,-3.213539777828636,5
195,-3.2235973616821204e-05,-1.8121464912567495,5
196,-3.144973035787434e-05,-2.0558489504257604,5
197,-3.0663487098927485e-05,-2.0296040702075593,5
198,-2.9877243839980626e-05,-0.6919104784798498,5
199,-2.909100058103377e-05,-1.0325020705997758,5
200,-2.830475732208691e-05,-2.1494070882406446,5
201,-2.751851406314005e-05,-1.8645459078714024,5
202,-2.673227080419319e-05,-1.4430671141384024,5
203,-2.5946027545246336e-05,-1.550391998075219,5
204,-2.5159784286299476e-05,-1.344395858470819,5
205,-2.4373541027352617e-05,-1.797877621246854,5
206,-2.3587297768405757e-05,-2.018493099020292,5
207,-2.2801054509458898e-05,-1.2858792910561592,5
208,-2.2014811250512042e-05,-1.626667968034,5
209,-2.1228567991565183e-05,-1.2554251980665316,5
210,-2.0442324732618323e-05,-1.1323356041412231,5
211,-1.9656081473671464e-05,-1.222966555125068,5
212,-1.8869838214724608e-05,-1.5823588433963576,5
213,-1.808359495577775e-05,-1.0070554546831403,5
214,-1.729735169683089e-05,-1.4524838288699138,5
215,-1.651110843788403e-05,-1.2498480947050228,5
216,-1.572486517893717e-05,-1.0636512013898312,5
217,-1.4938621919990313e-05,-1.4981127966294672,5
218,-1.4152378661043455e-05,-0.6907029558297977,5
219,-1.3366135402096596e-05,-0.9086018221278027,5
220,-1.2579892143149738e-05,-1.056154100410872,5
221,-1.1793648884202879e-05,-1.1087293227040342,5
222,-1.1007405625256021e-05,-0.8159008362234388,5
223,-1.0221162366309162e-05,-0.9114791301029409,5
224,-9.434919107362304e-06,-0.44435118696851894,5
225,-8.648675848415445e-06,-0.6805924226704738,5
226,-7.862432589468585e-06,-0.6568606043354671,5
227,-7.0761893305217276e-06,-0.5969423735904587,5
228,-6.289946071574869e-06,-0.3264592446945766,5
229,-5.5037028126280105e-06,-0.17449496716048843,5
230,-4.717459553681152e-06,-0.39798768165796183,5
231,-3.931216294734293e-06,-0.26393954276241804,5
232,-3.1449730357874345e-06,-0.3108349290720446,5
233,-2.358729776840576e-06,-0.3018714914549218,5
234,-1.5724865178937173e-06,-0.07435666705156742,5
235,-7.862432589468586e-07,0.019898079119681954,5
236,0.0,-0.02909903881457312,5
237,7.862432589468586e-07,0.0077584253448301195,5
238,1.5724865178937173e-06,0.010987462484882846,5
239,2.358729776840576e-06,0.3102244563270622,5
240,3.1449730357874345e-06,0.18578556379035838,5
241,3.931216294734293e-06,0.09596818469701117,5
242,4.717459553681152e-06,0.1471145644977054,5
243,5.5037028126280105e-06,0.26029232745833125,5
244,6.289946071574869e-06,0.3996651850579954,5
245,7.0761893305217276e-06,0.48134648314322015,5
246,7.862432589468585e-06,0.5934514825168302,5
247,8.648675848415445e-06,0.7112829247180295,5
248,9.434919107362304e-06,0.779053631755238,5
249,1.0221162366309162e-05,0.7574149931752121,5
250,1.1007405625256021e-05,0.5717194563964956,5
251,1.1793648884202879e-05,1.0342817816642726,5
252,1.2579892143149738e-05,0.9925103586004541,5
253,1.3366135402096596e-05,1.2261104280174202,5
254,1.4152378661043455e-05,1.4631405003480422,5
255,1.4938621919990313e-05,1.2827553814514068,5
256,1.572486517893717e-05,1.2348998274855598,5
257,1.651110843788403e-05,1.5770572167153334,5
258,1.729735169683089e-05,1.472752953487477,5
259,1.808359495577775e-05,1.6799087743272028,5
